threads,intervalo_x,intervalo_y,resultado,tempo,média,desvio
1,1000,1000,13.995.579.745,13.506,"0,018488266666666666","0,008119179689044239"
1,1000,10000,13.995.586.262,122.070,"0,14887343333333333","0,04628067210393508"
1,1000,100000,13.995.586.328,1.228.546,"1,4316150999999997","0,35748434293540066"
1,10000,1000,13.995.586.262,124.863,"0,14396750000000003","0,03633999777745615"
1,10000,10000,13.995.592.780,1.199.188,"1,381493633333333","0,3642621384075961"
1,10000,100000,13.995.592.845,11.793.585,"13,367668600000002","2,5737389623017277"
1,100000,1000,13.995.586.328,1.195.853,"1,3753268666666665","0,33432122624688815"
1,100000,10000,13.995.592.845,11.789.038,"13,1890429","1,936650238841628"
1,100000,100000,13.995.592.911,117.718.808,"130,71888463333332","18,05097673"
2,1000,1000,13.995.579.745,7.231,"0,0080143","0,001363151094668728"
2,1000,10000,13.995.586.262,88.658,"0,07973709999999999","0,015352886131794962"
2,1000,100000,13.995.586.328,653.124,"0,7101586666666666","0,08101801025116251"
2,10000,1000,13.995.586.262,66.526,"0,0749099","0,012512063385471997"
2,10000,10000,13.995.592.780,698.132,"0,7178043666666665","0,07790302645330961"
2,10000,100000,13.995.592.845,6.531.584,"7,2230737666666665","0,7676891841265863"
2,100000,1000,13.995.586.328,666.928,"0,7316857666666668","0,09155588784"
2,100000,10000,13.995.592.845,6.477.251,"7,211121399999999","0,7941005798395808"
2,100000,100000,13.995.592.910,66.863.882,"72,43681443333334","7,532714707299738"
4,1000,1000,13.995.579.745,6.009,"0,007797533333333333","0,006848713373923668"
4,1000,10000,13.995.586.262,56.778,"0,0791266","0,05194451398705858"
4,1000,100000,13.995.586.328,402.817,"0,7267877333333335","0,7453476086811341"
4,10000,1000,13.995.586.262,38.166,"0,0578042","0,01716631186"
4,10000,10000,13.995.592.780,382.385,"0,4247009000000001","0,036083499567788876"
4,10000,100000,13.995.592.845,3.816.500,"4,0833536666666665","0,2426425447629856"
4,100000,1000,13.995.586.328,384.871,"0,4282969333333334","0,04389097053784551"
4,100000,10000,13.995.592.845,3.864.111,"4,123822533333334","0,2311816602529101"
4,100000,100000,13.995.592.910,42.914.033,"42,9960553","6,6585979094430225"
8,1000,1000,13.995.579.745,6.583,"0,009334066666666665","0,009095199794712985"
8,1000,10000,13.995.586.262,56.067,"0,08132466666666667","0,06525406775817509"
8,1000,100000,13.995.586.328,365.064,"0,3869084333333334","0,06591670613458574"
8,10000,1000,13.995.586.262,50.312,"0,05139963333333333","0,01691880853285078"
8,10000,10000,13.995.592.780,367.614,"0,38972803333333333","0,06881982669735534"
8,10000,100000,13.995.592.845,3.643.743,"3,7291546666666666","0,5764178239580857"
8,100000,1000,13.995.586.328,352.627,"0,3869230333333334","0,06491346632805083"
8,100000,10000,13.995.592.845,3.574.127,"3,8046994666666665","0,5739833280674883"
8,100000,100000,13.995.592.910,37.706.713,"39,26473803333333","5,595306935"